".id","dates","totals","doi"
"counter",2012-10-19,275,"10.1371/journal.pone.0043938"
"counter",2012-10-20,285,"10.1371/journal.pone.0043938"
"counter",2012-10-20,285,"10.1371/journal.pone.0043938"
"counter",2012-10-21,286,"10.1371/journal.pone.0043938"
"counter",2012-10-21,286,"10.1371/journal.pone.0043938"
"counter",2012-10-22,287,"10.1371/journal.pone.0043938"
"counter",2012-10-22,287,"10.1371/journal.pone.0043938"
"counter",2012-10-23,291,"10.1371/journal.pone.0043938"
"counter",2012-10-23,291,"10.1371/journal.pone.0043938"
"counter",2012-10-24,291,"10.1371/journal.pone.0043938"
"counter",2012-10-24,291,"10.1371/journal.pone.0043938"
"counter",2012-10-25,298,"10.1371/journal.pone.0043938"
"counter",2012-10-25,298,"10.1371/journal.pone.0043938"
"counter",2012-10-26,302,"10.1371/journal.pone.0043938"
"counter",2012-10-26,302,"10.1371/journal.pone.0043938"
"counter",2012-10-27,305,"10.1371/journal.pone.0043938"
"counter",2012-10-27,305,"10.1371/journal.pone.0043938"
"counter",2012-10-28,306,"10.1371/journal.pone.0043938"
"counter",2012-10-28,306,"10.1371/journal.pone.0043938"
"counter",2012-10-29,306,"10.1371/journal.pone.0043938"
"counter",2012-10-29,306,"10.1371/journal.pone.0043938"
"counter",2012-10-30,312,"10.1371/journal.pone.0043938"
"counter",2012-10-30,312,"10.1371/journal.pone.0043938"
"counter",2012-11-01,314,"10.1371/journal.pone.0043938"
"counter",2012-11-01,314,"10.1371/journal.pone.0043938"
"counter",2012-11-02,319,"10.1371/journal.pone.0043938"
"counter",2012-11-02,319,"10.1371/journal.pone.0043938"
"researchblogging",2012-09-12,0,"10.1371/journal.pone.0043938"
"researchblogging",2012-09-19,0,"10.1371/journal.pone.0043938"
"researchblogging",2012-09-27,0,"10.1371/journal.pone.0043938"
"researchblogging",2012-10-04,0,"10.1371/journal.pone.0043938"
"researchblogging",2012-10-11,0,"10.1371/journal.pone.0043938"
"researchblogging",2012-10-19,0,"10.1371/journal.pone.0043938"
"researchblogging",2012-10-26,0,"10.1371/journal.pone.0043938"
"researchblogging",2012-11-03,0,"10.1371/journal.pone.0043938"
"biod",2012-09-12,0,"10.1371/journal.pone.0043938"
"biod",2012-09-12,0,"10.1371/journal.pone.0043938"
"biod",2012-09-13,0,"10.1371/journal.pone.0043938"
"biod",2012-09-13,0,"10.1371/journal.pone.0043938"
"biod",2012-09-14,0,"10.1371/journal.pone.0043938"
"biod",2012-09-14,0,"10.1371/journal.pone.0043938"
"biod",2012-09-15,0,"10.1371/journal.pone.0043938"
"biod",2012-09-15,0,"10.1371/journal.pone.0043938"
"biod",2012-09-16,0,"10.1371/journal.pone.0043938"
"biod",2012-09-16,0,"10.1371/journal.pone.0043938"
"biod",2012-09-17,0,"10.1371/journal.pone.0043938"
"biod",2012-09-17,0,"10.1371/journal.pone.0043938"
"biod",2012-09-18,0,"10.1371/journal.pone.0043938"
"biod",2012-09-18,0,"10.1371/journal.pone.0043938"
"biod",2012-09-19,0,"10.1371/journal.pone.0043938"
"biod",2012-09-19,0,"10.1371/journal.pone.0043938"
"biod",2012-09-20,0,"10.1371/journal.pone.0043938"
"biod",2012-09-20,0,"10.1371/journal.pone.0043938"
"biod",2012-09-21,0,"10.1371/journal.pone.0043938"
"biod",2012-09-21,0,"10.1371/journal.pone.0043938"
"biod",2012-09-22,0,"10.1371/journal.pone.0043938"
"biod",2012-09-22,0,"10.1371/journal.pone.0043938"
"biod",2012-09-23,0,"10.1371/journal.pone.0043938"
"biod",2012-09-23,0,"10.1371/journal.pone.0043938"
"biod",2012-09-24,0,"10.1371/journal.pone.0043938"
"biod",2012-09-24,0,"10.1371/journal.pone.0043938"
"biod",2012-09-25,0,"10.1371/journal.pone.0043938"
"biod",2012-09-25,0,"10.1371/journal.pone.0043938"
"biod",2012-09-26,0,"10.1371/journal.pone.0043938"
"biod",2012-09-26,0,"10.1371/journal.pone.0043938"
"biod",2012-09-27,0,"10.1371/journal.pone.0043938"
"biod",2012-09-27,0,"10.1371/journal.pone.0043938"
"biod",2012-09-28,0,"10.1371/journal.pone.0043938"
"biod",2012-09-28,0,"10.1371/journal.pone.0043938"
"biod",2012-09-29,0,"10.1371/journal.pone.0043938"
"biod",2012-09-29,0,"10.1371/journal.pone.0043938"
"biod",2012-09-30,0,"10.1371/journal.pone.0043938"
"biod",2012-09-30,0,"10.1371/journal.pone.0043938"
"biod",2012-10-01,0,"10.1371/journal.pone.0043938"
"biod",2012-10-01,0,"10.1371/journal.pone.0043938"
"biod",2012-10-02,0,"10.1371/journal.pone.0043938"
"biod",2012-10-02,0,"10.1371/journal.pone.0043938"
"biod",2012-10-03,0,"10.1371/journal.pone.0043938"
"biod",2012-10-03,0,"10.1371/journal.pone.0043938"
"biod",2012-10-04,0,"10.1371/journal.pone.0043938"
"biod",2012-10-04,0,"10.1371/journal.pone.0043938"
"biod",2012-10-05,0,"10.1371/journal.pone.0043938"
"biod",2012-10-05,0,"10.1371/journal.pone.0043938"
"biod",2012-10-06,0,"10.1371/journal.pone.0043938"
"biod",2012-10-06,0,"10.1371/journal.pone.0043938"
"biod",2012-10-07,0,"10.1371/journal.pone.0043938"
"biod",2012-10-07,0,"10.1371/journal.pone.0043938"
"biod",2012-10-08,0,"10.1371/journal.pone.0043938"
"biod",2012-10-08,0,"10.1371/journal.pone.0043938"
"biod",2012-10-09,0,"10.1371/journal.pone.0043938"
"biod",2012-10-09,0,"10.1371/journal.pone.0043938"
"biod",2012-10-10,0,"10.1371/journal.pone.0043938"
"biod",2012-10-10,0,"10.1371/journal.pone.0043938"
"biod",2012-10-11,0,"10.1371/journal.pone.0043938"
"biod",2012-10-11,0,"10.1371/journal.pone.0043938"
"biod",2012-10-12,0,"10.1371/journal.pone.0043938"
"biod",2012-10-12,0,"10.1371/journal.pone.0043938"
"biod",2012-10-13,0,"10.1371/journal.pone.0043938"
"biod",2012-10-13,0,"10.1371/journal.pone.0043938"
"biod",2012-10-14,0,"10.1371/journal.pone.0043938"
"biod",2012-10-14,0,"10.1371/journal.pone.0043938"
"biod",2012-10-15,0,"10.1371/journal.pone.0043938"
"biod",2012-10-15,0,"10.1371/journal.pone.0043938"
"biod",2012-10-16,0,"10.1371/journal.pone.0043938"
"biod",2012-10-16,0,"10.1371/journal.pone.0043938"
"biod",2012-10-17,0,"10.1371/journal.pone.0043938"
"biod",2012-10-17,0,"10.1371/journal.pone.0043938"
"biod",2012-10-18,0,"10.1371/journal.pone.0043938"
"biod",2012-10-18,0,"10.1371/journal.pone.0043938"
"biod",2012-10-19,0,"10.1371/journal.pone.0043938"
"biod",2012-10-19,0,"10.1371/journal.pone.0043938"
"biod",2012-10-20,0,"10.1371/journal.pone.0043938"
"biod",2012-10-20,0,"10.1371/journal.pone.0043938"
"biod",2012-10-21,0,"10.1371/journal.pone.0043938"
"biod",2012-10-21,0,"10.1371/journal.pone.0043938"
"biod",2012-10-22,0,"10.1371/journal.pone.0043938"
"biod",2012-10-22,0,"10.1371/journal.pone.0043938"
"biod",2012-10-23,0,"10.1371/journal.pone.0043938"
"biod",2012-10-23,0,"10.1371/journal.pone.0043938"
"biod",2012-10-24,0,"10.1371/journal.pone.0043938"
"biod",2012-10-24,0,"10.1371/journal.pone.0043938"
"biod",2012-10-25,0,"10.1371/journal.pone.0043938"
"biod",2012-10-25,0,"10.1371/journal.pone.0043938"
"biod",2012-10-26,0,"10.1371/journal.pone.0043938"
"biod",2012-10-26,0,"10.1371/journal.pone.0043938"
"biod",2012-10-27,0,"10.1371/journal.pone.0043938"
"biod",2012-10-27,0,"10.1371/journal.pone.0043938"
"biod",2012-10-28,0,"10.1371/journal.pone.0043938"
"biod",2012-10-28,0,"10.1371/journal.pone.0043938"
"biod",2012-10-29,0,"10.1371/journal.pone.0043938"
"biod",2012-10-29,0,"10.1371/journal.pone.0043938"
"biod",2012-10-30,0,"10.1371/journal.pone.0043938"
"biod",2012-10-30,0,"10.1371/journal.pone.0043938"
"biod",2012-11-01,0,"10.1371/journal.pone.0043938"
"biod",2012-11-01,0,"10.1371/journal.pone.0043938"
"biod",2012-11-02,0,"10.1371/journal.pone.0043938"
"biod",2012-11-02,0,"10.1371/journal.pone.0043938"
"wos",2012-09-12,0,"10.1371/journal.pone.0043938"
"wos",2012-09-19,0,"10.1371/journal.pone.0043938"
"wos",2012-09-26,0,"10.1371/journal.pone.0043938"
"wos",2012-10-03,0,"10.1371/journal.pone.0043938"
"wos",2012-10-11,0,"10.1371/journal.pone.0043938"
"wos",2012-10-18,0,"10.1371/journal.pone.0043938"
"wos",2012-10-25,0,"10.1371/journal.pone.0043938"
